trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
170,False,"{'a': 0.05, 'e': 0.18112695312597024}",25,0,21.5151184169913,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
171,False,"{'a': 0.05, 'e': 0.17931568359471053}",20,6,14.9637646013775,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.05, 'e': 0.17752252675876343}",30,11,23.904612360170585,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.05, 'e': 0.1757473014911758}",30,15,19.61440615238332,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.05, 'e': 0.17398982847626404}",30,3,3.6533954039979006,"{0: 24, 1: 1, 2: 1, 3: 1, 4: 0}",1
175,False,"{'a': 0.05, 'e': 0.1722499301915014}",20,10,-38.0204824101902,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
176,False,"{'a': 0.05, 'e': 0.17052743088958636}",20,13,3.0302896202666716,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.05, 'e': 0.1688221565806905}",20,7,9.699563681562392,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.05, 'e': 0.1671339350148836}",20,0,35.0009502566705,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
179,False,"{'a': 0.05, 'e': 0.16546259566473476}",20,6,27.222509425181777,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.05, 'e': 0.16380796970808742}",20,11,2.66423728259341,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.05, 'e': 0.16216989001100654}",25,0,14.54256436216665,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
182,False,"{'a': 0.05, 'e': 0.16054819111089647}",20,0,4.632340090537024,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
183,False,"{'a': 0.05, 'e': 0.1589427091997875}",20,3,29.321521727810822,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
